1	使用长长的尾巴或手；等拍打对手进行攻击。	complete
2	用锋利的手刀劈向对；手进行攻击。容易击；中要害。	complete
3	用连环巴掌拍打对手；进行攻击。连续攻击；2至5次。	complete
4	用拳头怒涛般的殴打；对手进行攻击。连续；攻击2至5次。	complete
5	用充满力量的拳头攻；击对手。	complete
6	向对手的身体投掷小；金币进行攻击。战斗；后可以拿到钱。	complete
7	用充满火焰的拳头攻；击对手。有时会让对；手陷入灼伤状态。	complete
8	用充满寒气的拳头攻；击对手。有时会让对；手陷入冰冻状态。	complete
9	用充满电流的拳头攻；击对手。有时会让对；手陷入麻痹状态。	complete
10	用坚硬且无比锋利的；爪子抓对手进行攻击。	complete
11	将对手从两侧夹住，；给予伤害。	complete
12	用大钳子或剪刀等夹；断对手进行攻击。只；要命中就会一击濒死。	complete
13	制造风之刃，于第2回；合攻击对手。容易击；中要害。	complete
14	激烈地跳起战舞提高；气势。大幅提高自己；的攻击。	complete
15	用镰刀或爪子等切斩；对手进行攻击。	complete
16	用翅膀将刮起的狂风；袭向对手进行攻击。	complete
17	大大地展开美丽的翅；膀，将其撞向对手进；行攻击。	complete
18	吹飞对手，强制拉后；备宝可梦上场。如果；对手为野生宝可梦，；战斗将直接结束。	complete
19	第1回合飞上天空，；第2回合攻击对手。	complete
20	使用长长的身体或藤；蔓等，在4至5回合内；绑紧对手进行攻击。	complete
21	使用长长的尾巴或藤；蔓等摔打对手进行攻；击。	complete
22	用如同鞭子般弯曲而；细长的藤蔓摔打对手；进行攻击。	complete
23	用大脚踩踏对手进行；攻击。有时会使对手；畏缩。	complete
24	用2只脚踢飞对手进行；攻击。连续2次给予；伤害。	complete
25	使出力大无穷的重踢；踢飞对手进行攻击。	complete
26	使出高高的腾空踢攻；击对手。如果踢偏则；自己会受到伤害。	complete
27	一边使身体快速旋转，；一边踢飞对手进行攻；击。有时会使对手畏；缩。	complete
28	向对手脸上泼沙子，；从而降低命中率。	complete
29	将头伸出，笔直地扑；向对手进行攻击。有；时会使对手畏缩。	complete
30	用尖锐的角攻击对手。	complete
31	用角或喙刺向对手进；行攻击。连续攻击2；至5次。	complete
32	用旋转的角刺入对手；进行攻击。只要命中；就会一击濒死。	complete
33	用整个身体撞向对手；进行攻击。	complete
34	用整个身体压住对手；进行攻击。有时会让；对手陷入麻痹状态。	complete
35	使用长长的身体或藤；蔓等，在4至5回合内；紧束对手进行攻击。	complete
36	以惊人的气势撞向对；手进行攻击。自己也；会受到少许伤害。	complete
37	在2至3回合内，乱打；一气地攻击对手。大；闹一番后自己会陷入；混乱。	complete
38	拼命地猛撞向对手进；行攻击。自己也会受；到不小的伤害。	complete
39	可爱地左右摇晃尾巴，；诱使对手疏忽大意。；会降低对手的防御。	complete
40	将有毒的针刺入对手；进行攻击。有时会让；对手陷入中毒状态。	complete
41	将2根针刺入对手，；连续2次给予伤害。；有时会让对手陷入；中毒状态。	complete
42	向对手发射锐针进行；攻击。连续攻击2至5；次。	complete
43	用犀利的眼神使其害；怕，从而降低对手的；防御。	complete
44	用尖锐的牙咬住对手；进行攻击。有时会使；对手畏缩。	complete
45	让对手听可爱的叫声，；引开注意力使其疏忽，；从而降低对手的攻击。	complete
46	放走对手，强制拉后；备宝可梦上场。如果；对手为野生宝可梦，；战斗将直接结束。	complete
47	让对手听舒适、美妙；的歌声，从而陷入睡；眠状态。	complete
48	从身体发出特殊的音；波，从而使对手混乱。	complete
49	将冲击波撞向对手进；行攻击。必定会给予；20的伤害。	complete
50	阻碍对手行动，之前；使出的招式将在4回合；内无法使用。	complete
51	将强酸泼向对手进行；攻击。有时会降低对；手的特防。	complete
52	向对手发射小型火焰；进行攻击。有时会让；对手陷入灼伤状态。	complete
53	向对手发射烈焰进行；攻击。有时会让对手；陷入灼伤状态。	complete
54	用白雾覆盖身体。在；5回合内不会让对手；降低自己的能力。	complete
55	向对手猛烈地喷射水；流进行攻击。	complete
56	向对手猛烈地喷射大；量水流进行攻击。	complete
57	利用大浪攻击自己周；围所有的宝可梦。	complete
58	向对手发射冰冻光束；进行攻击。有时会让；对手陷入冰冻状态。	complete
59	将猛烈的暴风雪刮向；对手进行攻击。有时；会让对手陷入冰冻状；态。	complete
60	向对手发射神奇的光；线进行攻击。有时会；使对手混乱。	complete
61	向对手猛烈地喷射泡；沫进行攻击。有时会；降低对手的速度。	complete
62	向对手发射虹色光束；进行攻击。有时会降；低对手的攻击。	complete
63	向对手发射强烈的光；线进行攻击。下一回；合自己将无法动弹。	complete
64	用尖锐的喙或角刺向；对手进行攻击。	complete
65	一边旋转，一边将尖；喙刺入对手进行攻击。	complete
66	将对手连同自己一起；摔向地面进行攻击。；自己也会受到少许伤；害。	complete
67	用力踢对手的脚，使；其摔倒进行攻击。对；手越重，威力越大。	complete
68	从对手那里受到物理；攻击的伤害将以2倍；返还给同一个对手。	complete
