0	40	9	100	35	0	0	0	19	0	100	0
1	40	0	100	35	0	0	0	19	0	100	0
2	50	1	100	25	0	0	0	19	0	100	43
3	15	0	100	10	0	0	0	19	0	100	29
4	18	0	85	15	0	0	0	19	0	100	29
5	80	0	85	20	0	0	0	19	0	160	0
6	40	0	100	20	100	0	0	18	0	100	34
7	75	10	100	15	10	0	0	19	0	140	4
8	75	15	100	15	10	0	0	19	0	140	5
9	75	13	100	15	10	0	0	19	0	140	6
10	40	0	100	35	0	0	0	19	0	100	0
11	55	0	100	30	0	0	0	19	0	100	0
12	1	0	30	5	0	0	0	19	0	180	0
13	80	0	100	10	0	8	0	18	1	160	39
14	0	0	0	20	0	16	0	8	2	0	50
15	75	8	100	25	0	0	0	19	0	140	0
16	40	2	100	35	0	0	0	18	1	100	149
17	60	2	100	35	0	0	0	19	0	120	0
18	0	0	0	5	0	0	-6	20	2	0	28
19	90	2	100	15	0	0	0	19	0	175	155
20	15	0	85	20	100	0	0	19	0	100	42
21	80	0	100	20	0	0	0	19	0	160	0
22	45	12	100	25	0	0	0	19	0	100	0
23	65	0	100	20	30	0	0	19	0	120	31
24	30	1	100	30	0	0	0	19	0	100	44
25	120	0	75	5	0	0	0	19	0	190	0
26	100	1	95	10	0	0	0	19	0	180	45
27	60	1	85	15	30	0	0	19	0	120	31
28	0	4	100	15	0	0	0	22	2	0	18
29	70	0	100	15	30	0	0	19	0	140	31
30	65	0	100	25	0	0	0	19	0	120	0
31	20	0	100	20	0	0	0	19	0	100	29
32	1	0	30	5	0	0	0	19	0	180	0
33	40	0	100	35	0	0	0	19	0	100	0
34	85	0	100	15	30	0	0	19	0	160	6
35	15	0	90	20	100	0	0	19	0	100	42
36	90	0	100	20	0	0	0	19	0	175	48
37	120	0	100	10	100	4	0	19	0	190	27
38	120	0	100	15	0	0	0	19	0	190	48
39	0	0	100	30	0	8	0	22	2	0	19
40	15	3	100	35	30	0	0	18	0	100	2
41	25	6	100	20	20	0	0	18	0	100	2
42	25	6	100	20	0	0	0	18	0	100	29
43	0	0	100	30	0	8	0	22	2	0	19
44	60	17	100	25	30	0	0	19	0	120	31
45	0	0	100	15	0	8	0	22	2	0	18
46	0	0	0	5	0	0	-6	20	2	0	28
47	0	0	55	15	0	0	0	22	2	0	1
48	0	0	55	20	0	0	0	22	2	0	49
