1	45	49	49	45	65	65	12	3	45	64	256	0	0	31	20	50	3	1	7	65	0	34
2	60	62	63	60	80	80	12	3	45	141	1280	0	0	31	20	50	3	1	7	65	0	34
3	80	82	83	80	100	100	12	3	45	208	1536	0	0	31	20	50	3	1	7	65	0	34
4	39	52	43	65	60	50	10	10	45	65	64	0	0	31	20	50	3	1	14	66	0	96
5	58	64	58	80	80	65	10	10	45	142	320	0	0	31	20	50	3	1	14	66	0	96
6	78	84	78	100	109	85	10	2	45	209	768	0	0	31	20	50	3	1	14	66	0	96
7	44	48	65	43	50	64	11	11	45	66	16	0	0	31	20	50	3	1	2	67	0	44
8	59	63	80	58	65	80	11	11	45	143	1040	0	0	31	20	50	3	1	2	67	0	44
9	79	83	100	78	85	105	11	11	45	210	3072	0	0	31	20	50	3	1	2	67	0	44
10	45	30	35	45	20	20	6	6	255	72	1	0	454	127	15	50	0	3	3	19	0	50
11	50	20	55	30	25	25	6	6	120	88	32	0	454	127	15	50	0	3	3	61	0	61
12	60	45	50	70	95	80	6	2	45	160	1536	0	188	127	15	50	0	3	3	14	0	99
13	40	35	30	50	20	20	6	3	255	72	64	0	454	127	15	50	0	3	3	19	0	50
14	45	25	50	35	25	25	6	3	120	88	32	0	454	127	15	50	0	3	3	61	0	61
15	65	90	40	75	45	80	6	3	45	159	1032	0	211	127	15	50	0	3	3	68	0	85
16	40	45	40	56	35	35	0	2	255	55	64	0	0	127	15	50	3	4	4	190	0	126
17	63	60	55	71	50	50	0	2	120	113	128	0	0	127	15	50	3	4	4	190	0	126
18	83	80	75	101	70	70	0	2	45	172	192	0	0	127	15	50	3	4	4	190	0	126
19	30	56	35	72	25	35	0	0	255	57	64	0	462	127	15	50	0	5	5	50	62	55
20	60	91	60	97	50	70	0	0	127	116	128	0	462	127	15	50	0	5	5	50	62	55
21	40	60	30	70	31	31	0	2	255	58	64	0	210	127	15	50	0	4	4	190	82	85
22	65	100	65	115	61	61	0	2	90	162	128	0	210	127	15	50	0	4	4	190	82	85
23	35	60	44	55	40	54	3	3	255	62	4	0	0	127	20	50	0	5	14	22	61	158
24	75	95	75	80	65	79	3	17	90	147	8	0	211	127	20	50	0	5	14	22	61	129
25	35	55	40	90	50	50	13	13	190	100	128	139	202	127	10	50	0	5	6	9	0	31
