id	name
0	未白镇
1	古辰镇
2	武斗镇
3	釜炎镇
4	秋叶镇
5	绿荫镇
6	暮水镇
7	橙华市
8	凯那市
9	紫堇市
10	卡那兹市
11	茵郁市
12	水静市
13	绿岭市
14	琉璃市
15	彩幽市
16	101号道路
17	102号道路
18	103号道路
19	104号道路
20	105号道路
21	106号道路
22	107号道路
23	108号道路
24	109号道路
25	110号道路
26	111号道路
27	112号道路
28	113号道路
29	114号道路
30	115号道路
31	116号道路
32	117号道路
33	118号道路
34	119号道路
35	120号道路
36	121号道路
37	122号道路
38	123号道路
39	124号道路
40	125号道路
41	126号道路
42	127号道路
43	128号道路
44	129号道路
45	130号道路
46	131号道路
47	132号道路
48	133号道路
49	134号道路
50	水下
51	水下
52	水下
53	水下
54	水下
55	石之洞窟
56	烟囱山
57	狩猎地带
58	对战开拓区
59	橙华森林
60	卡绿隧道
61	废弃船
62	新紫堇
63	流星瀑布
64	流星瀑布
65	送神火山
66	水舰队基地
67	浅滩洞穴
68	海底洞窟
69	水下
70	冠军之路
71	幻影之岛
72	觉醒神殿
73	南方孤岛
74	热焰小径
75	热焰小径
76	凹凸山道
77	凹凸山道
78	布告石室
79	水下
80	日照岩户
81	小岛横穴
82	沙漠遗迹
83	古代坟墓
84	搬家货车
85	天空之柱
86	秘密基地
87	动态区域
88	真新镇
89	常青市
90	深灰市
91	华蓝市
92	紫苑镇
93	枯叶市
94	玉虹市
95	浅红市
96	红莲岛
97	石英高原
98	金黄市
99	4号道路
100	10号道路
101	1号道路
102	2号道路
103	3号道路
104	4号道路
105	5号道路
106	6号道路
107	7号道路
108	8号道路
109	9号道路
110	10号道路
111	11号道路
112	12号道路
113	13号道路
114	14号道路
115	15号道路
116	16号道路
117	17号道路
118	18号道路
119	19号水路
120	20号水路
121	21号水路
122	22号道路
123	23号道路
124	24号道路
125	25号道路
126	常青森林
127	月见山
128	圣特安努号
129	地下通道
130	地下通道
131	地鼠洞穴
132	冠军之路
133	火箭队基地
134	西尔佛公司
135	宝可梦屋
136	狩猎地带
137	宝可梦联盟
138	岩山隧道
139	双子岛
140	宝可梦塔
141	华蓝洞窟
142	无人发电厂
143	一之岛
144	二之岛
145	三之岛
146	四之岛
147	五之岛
148	七之岛
149	六之岛
150	灯火山道
151	宝物海滩
152	歧波海岬
153	连结桥
154	三之岛港口
155	第六岛
156	第七岛
157	第八岛
158	第九岛
159	豪华度假村
160	水之迷宫
161	五之岛空地
162	回忆之塔
163	外岛
164	绿之步道
165	水之步道
166	遗迹山谷
167	训练家之塔
168	峡谷入口
169	七宝溪谷
170	阿斯卡纳遗迹
171	第22岛
172	第23岛
173	第24岛
174	肚脐岩
175	灯火山
176	果实森林
177	冻瀑洞窟
178	火箭队仓库
179	训练家之塔
180	点之穴
181	迷失洞窟
182	图案灌木林
183	变化洞窟
184	阿斯卡纳石室
185	三之岛小路
186	阿斯卡纳钥匙
187	诞生之岛
188	阿斯卡纳石室
189	阿斯卡纳石室
190	阿斯卡纳石室
191	阿斯卡纳石室
192	阿斯卡纳石室
193	阿斯卡纳石室
194	阿斯卡纳石室
195	灯火温泉
196	特殊区域
197	水舰队基地
198	熔岩队基地
199	幻影之塔
200	诞生之岛
201	边境之岛
202	工匠之穴
203	海之洞窟
204	水下
205	陆之洞窟
206	水下
207	水下
208	水下
209	沙漠地下道
210	变化洞窟
211	肚脐岩
212	训练家山
213	区域213
214	区域214
215	区域215
216	区域216
217	区域217
218	区域218
219	区域219
220	区域220
221	区域221
222	区域222
223	区域223
224	区域224
225	若叶镇
226	吉花市
227	满金市
228	桧皮镇
229	圆朱市
230	浅葱市
231	湛蓝市
232	卡吉镇
233	桔梗市
234	白银山
235	城都基地
236	烟墨市
237	愤怒之湖
238	27号道路
239	28号道路
240	29号道路
241	30号道路
242	31号道路
243	32号道路
244	33号道路
245	34号道路
246	36号道路
247	37号道路
248	38号道路
249	39号道路
250	40号水路
251	47号道路
252	未知区域
