0	13	0	0	20	138260512	0	0	1	1	134878945	1	134881213	0
1	1	0	0	0	138235596	0	0	3	0	0	2	134880797	0
2	2	1200	0	0	138235686	0	0	3	1	0	2	134880797	1
3	3	600	0	0	138235768	0	0	3	2	0	2	134880797	2
4	4	200	0	0	138235856	0	0	3	3	0	2	134880797	3
5	5	0	0	0	138235930	0	0	3	4	0	2	134880797	4
6	6	1000	0	0	138236023	0	0	3	5	0	2	134880797	5
7	7	1000	0	0	138236108	0	0	3	6	0	2	134880797	6
8	8	1000	0	0	138236189	0	0	3	7	0	2	134880797	7
9	9	1000	0	0	138236261	0	0	3	8	0	2	134880797	8
10	10	1000	0	0	138236340	0	0	3	9	0	2	134880797	9
11	11	1000	0	0	138236438	0	0	3	10	0	2	134880797	10
12	12	200	0	0	138236515	0	0	3	11	0	2	134880797	11
13	13	300	0	20	138236594	0	0	1	1	134878945	1	134881213	0
14	14	100	0	0	138236671	0	0	1	1	134878945	1	134881213	0
15	15	250	0	0	138236733	0	0	1	1	134878945	1	134881213	0
16	16	250	0	0	138236788	0	0	1	1	134878945	1	134881213	0
17	17	250	0	0	138236841	0	0	1	1	134878945	1	134881213	0
18	18	200	0	0	138236895	0	0	1	1	134878945	1	134881213	0
19	19	3000	0	255	138236955	0	0	1	1	134878945	1	134881213	0
20	20	2500	0	255	138237039	0	0	1	1	134878945	1	134881213	0
21	21	1200	0	200	138237109	0	0	1	1	134878945	1	134881213	0
22	22	700	0	50	138237187	0	0	1	1	134878945	1	134881213	0
23	23	600	0	0	138237264	0	0	1	1	134878945	1	134881213	0
24	24	1500	0	0	138237336	0	0	1	1	134878945	1	134881213	0
25	25	4000	0	0	138237420	0	0	1	1	134878945	1	134881213	0
26	26	200	0	50	138237483	0	0	1	1	134878945	1	134881213	0
27	27	300	0	60	138237566	0	0	1	1	134878945	1	134881213	0
28	28	350	0	80	138237634	0	0	1	1	134878945	1	134881213	0
29	29	500	0	100	138237702	0	0	1	1	134878945	1	134881213	0
30	30	500	0	0	138237775	0	0	1	1	134878945	1	134881213	0
31	31	800	0	0	138237854	0	0	1	1	134878945	1	134881213	0
32	32	450	0	0	138237923	0	0	1	1	134878945	1	134881213	0
33	33	2800	0	0	138238003	0	0	1	1	134878945	1	134881213	0
