1001	0xF62110	0xF62888
1002	0xF62DD4	0xF635A4
1003	0xF63C90	0xF6439C
1004	0xF63C90	0xF6439C
1005	0xF649B8	0xF6511C
1006	0xF6557C	0xF65CE0
1007	0xF662AC	0xF66AA4
1008	0xF67248	0xF6780C
1009	0xF67F0C	0xF68670
1010	0xF68C18	0xF69180
1011	0xF697DC	0xF6A064
1012	0xF6A82C	0xF6AF48
1013	0xF6B524	0xF6BA7C
1014	0xF6C06C	0xF6C6F8
1016	0xEFDDFC	0xEFE464
1017	0xEFD1A4	0xEFD830
1018	0xEFC54C	0xEFCBB4
1019	0xEB95E8	0xEB98D8
1020	0xEB9CE0	0xEBA018
1021	0xEBA48C	0xEBA820
1022	0xEBAD90	0xEBB134
1023	0xEBB65C	0xEBB9DC
1024	0xEBBF18	0xEBC260
1025	0xEBC740	0xEBCBBC
1028	0xEBE7AC	0xEBEC50
1029	0xEBDC1C	0xEBE2CC
1030	0xEBD188	0xEBD698
1031	0xEBF19C	0xEBF640
1032	0xEBFAB4	0xEC0054
1033	0xEC04EC	0xEC0D3C
1034	0xEC1364	0xEC17D0
1035	0xEC1E50	0xEC2500
1036	0xEC2ADC	0xEC318C
1037	0xEC1E50	0xEC31DC
1038	0xEC1E50	0xEC322C
1039	0xEC327C	0xEC392C
1040	0xEC1E50	0xEC397C
1041	0xEC1E50	0xEC39CC
1042	0xEC1E50	0xEC3A1C
1043	0xEC1E50	0xEC3A6C
1044	0xEC1E50	0xEC3ABC
1045	0xEC1E50	0xEC3B0C
1046	0xEC40E8	0xEC4798
1047	0xEC1E50	0xEC4D74
1048	0xEC1E50	0xEC4DC4
1049	0xEC1E50	0xEC4E14
1050	0xEC4E64	0xEC5514
1051	0xEC5AF0	0xEC61A0
1052	0xEC61F0	0xEC66A4
1053	0xEC6CB8	0xEC7070
1054	0xEC7588	0xEC7940
1055	0xEC7D6C	0xEC85B8
1056	0xEC7D6C	0xEC80EC
1057	0xEC7D6C	0xEC8608
1058	0xEC8658	0xEC8C78
1059	0xEC9364	0xEC9928
1060	0xEC9F04	0xECA438
1061	0xECA960	0xECAE04
1062	0xECB288	0xECB8F0
1063	0xECBE18	0xECC500
1064	0xECCA18	0xECD148
1065	0xECD800	0xECDEF8
1066	0xECE520	0xECED94
1067	0xECF318	0xECFB20
1068	0xED0220	0xED07D4
1069	0xED0EC0	0xED1364
1070	0xED198C	0xED1F08
1071	0xED7B8C	0xED8284
1072	0xEDE08C	0xEDE784
1073	0xED33A4	0xED3A9C
1074	0xED5EE4	0xED65DC
1075	0xED41F8	0xED48F0
1076	0x9E29D4	0x9E30E0
1077	0xEDA674	0xEDAD6C
1078	0xED97FC	0xED9F08
1079	0xED2540	0xED2C38
1080	0xED6D38	0xED7430
1081	0xEDFCEC	0xEE03E4
