id	name
88	奥尔工厂
89	神幻岛
90	科伦12号道路
91	训练家之塔
92	点之穴
93	不归之穴
94	标志之林
95	变化洞窟
96	爱神百货
97	通讯终端
98	地铁站
100	MetroX
101	那藏石室
102	由格石室
103	阿利波卡石室
104	科斗石室
105	阿努泽石室
106	澳利弗石室
108	爱神百货
109	扩展区域109（ROM未提供名称）
110	扩展区域110（ROM未提供名称）
111	扩展区域111（ROM未提供名称）
112	扩展区域112（ROM未提供名称）
113	扩展区域113（ROM未提供名称）
114	扩展区域114（ROM未提供名称）
115	扩展区域115（ROM未提供名称）
116	扩展区域116（ROM未提供名称）
118	扩展区域118（ROM未提供名称）
119	扩展区域119（ROM未提供名称）
122	扩展区域122（ROM未提供名称）
123	扩展区域123（ROM未提供名称）
125	扩展区域125（ROM未提供名称）
126	扩展区域126（ROM未提供名称）
127	扩展区域127（ROM未提供名称）
128	扩展区域128（ROM未提供名称）
129	扩展区域129（ROM未提供名称）
130	扩展区域130（ROM未提供名称）
131	扩展区域131（ROM未提供名称）
132	扩展区域132（ROM未提供名称）
133	扩展区域133（ROM未提供名称）
134	扩展区域134（ROM未提供名称）
135	扩展区域135（ROM未提供名称）
136	扩展区域136（ROM未提供名称）
137	扩展区域137（ROM未提供名称）
139	扩展区域139（ROM未提供名称）
140	扩展区域140（ROM未提供名称）
142	扩展区域142（ROM未提供名称）
143	扩展区域143（ROM未提供名称）
144	扩展区域144（ROM未提供名称）
145	扩展区域145（ROM未提供名称）
146	扩展区域146（ROM未提供名称）
147	扩展区域147（ROM未提供名称）
148	扩展区域148（ROM未提供名称）
149	扩展区域149（ROM未提供名称）
151	扩展区域151（ROM未提供名称）
152	扩展区域152（ROM未提供名称）
153	扩展区域153（ROM未提供名称）
154	扩展区域154（ROM未提供名称）
155	扩展区域155（ROM未提供名称）
156	扩展区域156（ROM未提供名称）
157	扩展区域157（ROM未提供名称）
159	扩展区域159（ROM未提供名称）
160	扩展区域160（ROM未提供名称）
161	扩展区域161（ROM未提供名称）
162	扩展区域162（ROM未提供名称）
163	扩展区域163（ROM未提供名称）
164	扩展区域164（ROM未提供名称）
165	扩展区域165（ROM未提供名称）
166	扩展区域166（ROM未提供名称）
168	扩展区域168（ROM未提供名称）
169	扩展区域169（ROM未提供名称）
170	扩展区域170（ROM未提供名称）
172	扩展区域172（ROM未提供名称）
174	扩展区域174（ROM未提供名称）
175	扩展区域175（ROM未提供名称）
176	扩展区域176（ROM未提供名称）
177	扩展区域177（ROM未提供名称）
178	扩展区域178（ROM未提供名称）
179	扩展区域179（ROM未提供名称）
191	扩展区域191（ROM未提供名称）
192	扩展区域192（ROM未提供名称）
193	扩展区域193（ROM未提供名称）
194	扩展区域194（ROM未提供名称）
195	扩展区域195（ROM未提供名称）
196	扩展区域196（ROM未提供名称）
