0	2	28	陆地	7	0	25	25	201
1	2	28	陆地	7	1	25	25	201
2	2	28	陆地	7	2	25	25	201
3	2	28	陆地	7	3	25	25	201
4	2	28	陆地	7	4	25	25	201
5	2	28	陆地	7	5	25	25	201
6	2	28	陆地	7	6	25	25	201
7	2	28	陆地	7	7	25	25	201
8	2	28	陆地	7	8	25	25	201
9	2	28	陆地	7	9	25	25	201
10	2	28	陆地	7	10	25	25	201
11	2	28	陆地	7	11	25	25	201
12	2	29	陆地	7	0	25	25	201
13	2	29	陆地	7	1	25	25	201
14	2	29	陆地	7	2	25	25	201
15	2	29	陆地	7	3	25	25	201
16	2	29	陆地	7	4	25	25	201
17	2	29	陆地	7	5	25	25	201
18	2	29	陆地	7	6	25	25	201
19	2	29	陆地	7	7	25	25	201
20	2	29	陆地	7	8	25	25	201
21	2	29	陆地	7	9	25	25	201
22	2	29	陆地	7	10	25	25	201
23	2	29	陆地	7	11	25	25	201
24	2	30	陆地	7	0	25	25	201
25	2	30	陆地	7	1	25	25	201
26	2	30	陆地	7	2	25	25	201
27	2	30	陆地	7	3	25	25	201
28	2	30	陆地	7	4	25	25	201
29	2	30	陆地	7	5	25	25	201
30	2	30	陆地	7	6	25	25	201
31	2	30	陆地	7	7	25	25	201
32	2	30	陆地	7	8	25	25	201
33	2	30	陆地	7	9	25	25	201
34	2	30	陆地	7	10	25	25	201
35	2	30	陆地	7	11	25	25	201
36	2	31	陆地	7	0	25	25	201
37	2	31	陆地	7	1	25	25	201
38	2	31	陆地	7	2	25	25	201
39	2	31	陆地	7	3	25	25	201
40	2	31	陆地	7	4	25	25	201
41	2	31	陆地	7	5	25	25	201
42	2	31	陆地	7	6	25	25	201
43	2	31	陆地	7	7	25	25	201
44	2	31	陆地	7	8	25	25	201
45	2	31	陆地	7	9	25	25	201
46	2	31	陆地	7	10	25	25	201
47	2	31	陆地	7	11	25	25	201
48	2	32	陆地	7	0	25	25	201
49	2	32	陆地	7	1	25	25	201
50	2	32	陆地	7	2	25	25	201
51	2	32	陆地	7	3	25	25	201
52	2	32	陆地	7	4	25	25	201
53	2	32	陆地	7	5	25	25	201
54	2	32	陆地	7	6	25	25	201
55	2	32	陆地	7	7	25	25	201
56	2	32	陆地	7	8	25	25	201
57	2	32	陆地	7	9	25	25	201
58	2	32	陆地	7	10	25	25	201
59	2	32	陆地	7	11	25	25	201
60	2	33	陆地	7	0	25	25	201
61	2	33	陆地	7	1	25	25	201
62	2	33	陆地	7	2	25	25	201
63	2	33	陆地	7	3	25	25	201
64	2	33	陆地	7	4	25	25	201
65	2	33	陆地	7	5	25	25	201
66	2	33	陆地	7	6	25	25	201
67	2	33	陆地	7	7	25	25	201
68	2	33	陆地	7	8	25	25	201
69	2	33	陆地	7	9	25	25	201
70	2	33	陆地	7	10	25	25	201
71	2	33	陆地	7	11	25	25	201
72	1	0	陆地	14	0	4	4	10
73	1	0	陆地	14	1	4	4	13
74	1	0	陆地	14	2	5	5	10
75	1	0	陆地	14	3	5	5	13
76	1	0	陆地	14	4	3	3	10
77	1	0	陆地	14	5	3	3	13
78	1	0	陆地	14	6	5	5	11
79	1	0	陆地	14	7	5	5	14
80	1	0	陆地	14	8	4	4	14
81	1	0	陆地	14	9	3	3	25
82	1	0	陆地	14	10	6	6	14
83	1	0	陆地	14	11	5	5	25
84	1	1	陆地	11	0	8	11	74
85	1	1	陆地	11	1	8	11	577
86	1	1	陆地	11	2	7	10	41
87	1	1	陆地	11	3	7	10	475
88	1	1	陆地	11	4	7	10	582
89	1	1	陆地	11	5	7	10	335
90	1	1	陆地	11	6	6	9	382
91	1	1	陆地	11	7	6	9	672
92	1	1	陆地	11	8	9	11	370
93	1	1	陆地	11	9	9	11	367
94	1	1	陆地	11	10	8	8	756
95	1	1	陆地	11	11	8	8	95
96	1	2	陆地	17	0	8	11	74
97	1	2	陆地	17	1	8	11	577
98	1	2	陆地	17	2	7	10	580
99	1	2	陆地	17	3	7	10	588
100	1	2	陆地	17	4	7	10	582
101	1	2	陆地	17	5	7	10	231
102	1	2	陆地	17	6	6	9	382
103	1	2	陆地	17	7	6	9	677
104	1	2	陆地	17	8	9	11	46
105	1	2	陆地	17	9	9	11	50
106	1	2	陆地	17	10	8	8	355
107	1	2	陆地	17	11	8	8	322
108	1	4	水面	1	0	5	10	72
109	1	4	水面	1	1	10	20	72
110	1	4	水面	1	2	20	30	72
111	1	4	水面	1	3	30	35	72
112	1	4	水面	1	4	35	40	384
113	1	4	钓鱼	10	0	5	5	129
114	1	4	钓鱼	10	1	5	5	129
115	1	4	钓鱼	10	2	5	15	116
116	1	4	钓鱼	10	3	5	15	129
117	1	4	钓鱼	10	4	5	15	98
118	1	4	钓鱼	10	5	15	25	116
119	1	4	钓鱼	10	6	15	25	90
120	1	4	钓鱼	10	7	15	25	130
121	1	4	钓鱼	10	8	25	35	116
